rail                         Voltage  Current(mA)  Power(mW)
B5S4_VDDMIF_AP_L             0.5687   70.3296      42.6975
B3_4_5S2_VDD_CPUCL3_BIG_L    0.0132   30.5006      26.9486
B3_4S3_VDD_CPUCL2_MID_HF_L   0.0357   9.6942       6.0271
B2S3_VDD_CPUCL1_MID_LF1_L    0.4519   70.9176      40.9893
B2S2_VDD_CPUCL1_MID_LF0_L    0.5954   183.8097     113.1666
B5_6S3_VDD_CPUCL0_DSU_L      0.5866   129.6368     77.2240
B4S4_VDD_INT_L               0.6313   155.8235     98.9842
B5_6S1_VDD_CAM_L             0.6077   170.2944     103.4620
L1S3_VDD_ICPU_L              0.7219   26.0061      18.7618
B1_2_3_4S1_VDD_G3D0_0P725_L  0.0111   7.0509       2.2908
B1_2_3E1_VDD_G3D1_0P725_L    0.0112   6.1014       1.8491
B6S4_VDDQ_DRAM_MEM_0P5_T     0.4280   17.6063      7.5841
L5M_VDD1_MEM_L               1.8014   9.7308       17.5281
SRB1S5_VDD2L_MEM_AP_L        0.9108   25.9604      23.6690
SRB1S4_VDD2H_MEM_AP_L        1.0027   57.9021      58.1893
B6S2_VDD_SRAM_L              0.7217   48.7321      35.1764
