rail                         Voltage  Current(mA)  Power(mW)
B5S4_VDDMIF_AP_L             0.5687   69.6966      42.3132
B3_4_5S2_VDD_CPUCL3_BIG_L    0.0132   30.2261      26.7061
B3_4S3_VDD_CPUCL2_MID_HF_L   0.0357   9.6070       5.9729
B2S3_VDD_CPUCL1_MID_LF1_L    0.4519   70.2793      40.6204
B2S2_VDD_CPUCL1_MID_LF0_L    0.5954   182.1554     112.1481
B5_6S3_VDD_CPUCL0_DSU_L      0.5866   128.4701     76.5290
B4S4_VDD_INT_L               0.6313   154.4211     98.0933
B5_6S1_VDD_CAM_L             0.6077   168.7618     102.5308
L1S3_VDD_ICPU_L              0.7219   25.7720      18.5929
B1_2_3_4S1_VDD_G3D0_0P725_L  0.0111   6.9874       2.2702
B1_2_3E1_VDD_G3D1_0P725_L    0.0112   6.0465       1.8325
B6S4_VDDQ_DRAM_MEM_0P5_T     0.4280   17.4478      7.5158
L5M_VDD1_MEM_L               1.8014   9.6432       17.3703
SRB1S5_VDD2L_MEM_AP_L        0.9108   25.7268      23.4560
SRB1S4_VDD2H_MEM_AP_L        1.0027   57.3810      57.6656
B6S2_VDD_SRAM_L              0.7217   48.2935      34.8598
